pokemon_species_id,local_language_id,name,genus
1,1,フシギダネ,たねポケモン
1,2,Fushigidane,
1,3,이상해씨,씨앗포켓몬
1,4,妙蛙種子,種子寶可夢
1,5,Bulbizarre,Pokémon Graine
1,6,Bisasam,Samen-Pokémon
1,7,Bulbasaur,Pokémon Semilla
1,8,Bulbasaur,Pokémon Seme
1,9,Bulbasaur,Seed Pokémon
1,11,フシギダネ,たねポケモン
1,12,妙蛙种子,种子宝可梦
2,1,フシギソウ,たねポケモン
2,2,Fushigisou,
2,3,이상해풀,씨앗포켓몬
2,4,妙蛙草,種子寶可夢
2,5,Herbizarre,Pokémon Graine
2,6,Bisaknosp,Samen-Pokémon
2,7,Ivysaur,Pokémon Semilla
2,8,Ivysaur,Pokémon Seme
2,9,Ivysaur,Seed Pokémon
2,11,フシギソウ,たねポケモン
2,12,妙蛙草,种子宝可梦
3,1,フシギバナ,たねポケモン
3,2,Fushigibana,
3,3,이상해꽃,씨앗포켓몬
3,4,妙蛙花,種子寶可夢
3,5,Florizarre,Pokémon Graine
3,6,Bisaflor,Samen-Pokémon
3,7,Venusaur,Pokémon Semilla
3,8,Venusaur,Pokémon Seme
3,9,Venusaur,Seed Pokémon
3,11,フシギバナ,たねポケモン
3,12,妙蛙花,种子宝可梦
4,1,ヒトカゲ,とかげポケモン
4,2,Hitokage,
4,3,파이리,도롱뇽포켓몬
4,4,小火龍,蜥蜴寶可夢
4,5,Salamèche,Pokémon Lézard
4,6,Glumanda,Echsen-Pokémon
4,7,Charmander,Pokémon Lagartija
4,8,Charmander,Pokémon Lucertola
4,9,Charmander,Lizard Pokémon
4,11,ヒトカゲ,とかげポケモン
4,12,小火龙,蜥蜴宝可梦
5,1,リザード,かえんポケモン
5,2,Lizardo,
5,3,리자드,화염포켓몬
5,4,火恐龍,火焰寶可夢
5,5,Reptincel,Pokémon Flamme
5,6,Glutexo,Flammen-Pokémon
5,7,Charmeleon,Pokémon Llama
5,8,Charmeleon,Pokémon Fiamma
5,9,Charmeleon,Flame Pokémon
5,11,リザード,かえんポケモン
5,12,火恐龙,火焰宝可梦
6,1,リザードン,かえんポケモン
6,2,Lizardon,
6,3,리자몽,화염포켓몬
6,4,噴火龍,火焰寶可夢
6,5,Dracaufeu,Pokémon Flamme
6,6,Glurak,Flammen-Pokémon
6,7,Charizard,Pokémon Llama
6,8,Charizard,Pokémon Fiamma
6,9,Charizard,Flame Pokémon
6,11,リザードン,かえんポケモン
6,12,喷火龙,火焰宝可梦
7,1,ゼニガメ,かめのこポケモン
7,2,Zenigame,
7,3,꼬부기,꼬마거북포켓몬
7,4,傑尼龜,小龜寶可夢
7,5,Carapuce,Pokémon Minitortue
7,6,Schiggy,Minikröten-Pokémon
7,7,Squirtle,Pokémon Tortuguita
7,8,Squirtle,Pokémon Tartaghina
7,9,Squirtle,Tiny Turtle Pokémon
7,11,ゼニガメ,かめのこポケモン
7,12,杰尼龟,小龟宝可梦
8,1,カメール,かめポケモン
8,2,Kameil,
8,3,어니부기,거북포켓몬
8,4,卡咪龜,龜寶可夢
8,5,Carabaffe,Pokémon Tortue
8,6,Schillok,Kröten-Pokémon
8,7,Wartortle,Pokémon Tortuga
8,8,Wartortle,Pokémon Tartaruga
8,9,Wartortle,Turtle Pokémon
8,11,カメール,かめポケモン
8,12,卡咪龟,龟宝可梦
9,1,カメックス,こうらポケモン
9,2,Kamex,
9,3,거북왕,껍질포켓몬
9,4,水箭龜,甲殼寶可夢
9,5,Tortank,Pokémon Carapace
9,6,Turtok,Panzertier-Pokémon
9,7,Blastoise,Pokémon Armazón
9,8,Blastoise,Pokémon Crostaceo
9,9,Blastoise,Shellfish Pokémon
9,11,カメックス,こうらポケモン
9,12,水箭龟,甲壳宝可梦
10,1,キャタピー,いもむしポケモン
10,2,Caterpie,
10,3,캐터피,애벌레포켓몬
10,4,綠毛蟲,蟲寶寶寶可夢
10,5,Chenipan,Pokémon Ver
10,6,Raupy,Wurm-Pokémon
10,7,Caterpie,Pokémon Gusano
10,8,Caterpie,Pokémon Baco
10,9,Caterpie,Worm Pokémon
10,11,キャタピー,いもむしポケモン
10,12,绿毛虫,虫宝宝宝可梦
11,1,トランセル,さなぎポケモン
11,2,Trancell,
11,3,단데기,번데기포켓몬
11,4,鐵甲蛹,蛹寶可夢
11,5,Chrysacier,Pokémon Cocon
11,6,Safcon,Kokon-Pokémon
11,7,Metapod,Pokémon Capullo
11,8,Metapod,Pokémon Bozzolo
11,9,Metapod,Cocoon Pokémon
11,11,トランセル,さなぎポケモン
11,12,铁甲蛹,蛹宝可梦
12,1,バタフリー,ちょうちょポケモン
12,2,Butterfree,
12,3,버터플,나비포켓몬
12,4,巴大蝶,蝴蝶寶可夢
12,5,Papilusion,Pokémon Papillon
12,6,Smettbo,Falter-Pokémon
12,7,Butterfree,Pokémon Mariposa
12,8,Butterfree,Pokémon Farfalla
12,9,Butterfree,Butterfly Pokémon
12,11,バタフリー,ちょうちょポケモン
12,12,巴大蝶,蝴蝶宝可梦
13,1,ビードル,けむしポケモン
13,2,Beedle,
13,3,뿔충이,송충이포켓몬
13,4,獨角蟲,毛毛蟲寶可夢
13,5,Aspicot,Pokémon Insectopic
13,6,Hornliu,Raupe
13,7,Weedle,Pokémon Oruga
13,8,Weedle,Pokémon Millepiedi
13,9,Weedle,Hairy Bug Pokémon
13,11,ビードル,けむしポケモン
13,12,独角虫,毛毛虫宝可梦
14,1,コクーン,さなぎポケモン
14,2,Cocoon,
14,3,딱충이,번데기포켓몬
14,4,鐵殼蛹,蛹寶可夢
14,5,Coconfort,Pokémon Cocon
14,6,Kokuna,Kokon
14,7,Kakuna,Pokémon Capullo
14,8,Kakuna,Pokémon Bozzolo
14,9,Kakuna,Cocoon Pokémon
14,11,コクーン,さなぎポケモン
14,12,铁壳蛹,蛹宝可梦
15,1,スピアー,どくばちポケモン
15,2,Spear,
15,3,독침붕,독벌포켓몬
15,4,大針蜂,毒蜂寶可夢
15,5,Dardargnan,Pokémon Guêpoison
15,6,Bibor,Giftbiene
15,7,Beedrill,Pokémon Abeja Veneno
15,8,Beedrill,Pokémon Velenape
15,9,Beedrill,Poison Bee Pokémon
15,11,スピアー,どくばちポケモン
15,12,大针蜂,毒蜂宝可梦
16,1,ポッポ,ことりポケモン
16,2,Poppo,
16,3,구구,아기새포켓몬
16,4,波波,小鳥寶可夢
16,5,Roucool,Pokémon Minoiseau
16,6,Taubsi,Kleinvogel
16,7,Pidgey,Pokémon Pajarito
